index,name,address,sido,gungu
0,강원강릉시내곡점,강원 강릉시 범일로,강원도,강릉시
1,강원강릉시사천해변점,강원 강릉시 사천면 진리해변길,강원도,강릉시
2,강원강릉시솔올점,강원 강릉시 원대로,강원도,강릉시
3,강원강릉시입암점,강원 강릉시 강변로,강원도,강릉시
4,강원강릉시주문진점,강원 강릉시 주문진읍 주문로,강원도,강릉시
5,강원강릉시초당점,강원 강릉시 초당원길,강원도,강릉시
6,강원강릉시포남1점,강원 강릉시 가작로,강원도,강릉시
7,강원강릉시홍제점,강원 강릉시 홍제로,강원도,강릉시
8,강원동해시망상점,강원 동해시 동해대로,강원도,동해시
9,강원동해시부곡점,강원 동해시 발한로,강원도,동해시
10,강원동해시천곡점,강원 동해시 한섬로,강원도,동해시
11,강원동해시효가점,강원 동해시 동해대로,강원도,동해시
12,강원삼척시교동점,강원 삼척시 정상로,강원도,삼척시
13,강원속초시교동점,강원 속초시 수복로,강원도,속초시
14,강원속초시금호점,강원 속초시 미시령로,강원도,속초시
15,강원속초시조양점,강원 속초시 동해대로,강원도,속초시
16,강원양구군동면점,강원 양구군 동면 금강산로,강원도,양구군
17,강원양구군방산점,강원 양구군 방산면 장거리길,강원도,양구군
18,강원양구군양구점,강원 양구군 양구읍 중앙길,강원도,양구군
19,강원양양군양양점,강원 양양군 양양읍 양양로,강원도,양양군
20,강원양양군하조대점,강원 양양군 현북면 조준길,강원도,양양군
21,강원영월군영월점,강원 영월군 영월읍 은행나무길,강원도,영월군
22,강원원주시개운단구점,강원 원주시 서원대로,강원도,원주시
23,강원원주시단계점,강원 원주시 원문로,강원도,원주시
24,강원원주시단관점,강원 원주시 단관초교길,강원도,원주시
25,강원원주시명륜점,강원 원주시 남산로,강원도,원주시
26,강원원주시무실점,강원 원주시 섬밭들길,강원도,원주시
27,강원원주시문막점,강원 원주시 문막읍 건등로,강원도,원주시
28,강원원주시반곡봉산점,강원 원주시 반곡길,강원도,원주시
29,강원원주시태장점,강원 원주시 북원로,강원도,원주시
30,강원원주시혁신도시점,강원 원주시 웅비2길,강원도,원주시
31,강원인제군서화점[B],강원 인제군 서화면 천도로,강원도,인제군
32,강원인제군신남점,강원 인제군 남면 신남로,강원도,인제군
33,강원인제군인제점,강원 인제군 인제읍 인제로,강원도,인제군
34,강원인제군현리점,강원 인제군 기린면 내린천로,강원도,인제군
35,강원정선군정선점,강원 정선군 정선읍 봉양길,강원도,정선군
36,강원철원군내대리점,강원 철원군 갈말읍 두루미로,강원도,철원군
37,강원철원군동송점,강원 철원군 동송읍 금학로,강원도,철원군
38,강원철원군신철원점,강원 철원군 갈말읍 삼부연로,강원도,철원군
39,강원철원군와수리점,강원 철원군 서면 와수로,강원도,철원군
40,강원철원군자등리점,강원 철원군 서면 자등로,강원도,철원군
41,강원철원군지경리점,강원 철원군 갈말읍 청양로,강원도,철원군
42,강원춘천시강북점,강원 춘천시 충열로,강원도,춘천시
43,강원춘천시교동후평점,강원 춘천시 성심로,강원도,춘천시
